epoch reward_sum_0 reward_sum_1 reward_sum_2 reward_sum_all
0 -1241.9 -2212.79 -1221.34 -15.5868
1 -394.195 -301.973 -355.222 -3.50463
2 -845.869 -116.267 -87.6084 -3.49915
3 -777.219 -94.1485 10.135 -2.87078
4 -124.069 190.367 392.325 1.52875
5 74.2479 -191.337 676.636 1.86516
6 -99.4142 1057.17 1061.42 6.73061
7 -398.832 -236.216 213.283 -1.40588
8 602.077 1000.56 1169.96 9.24198
9 505.388 891.842 743.337 7.13522
10 501.694 557.645 612.461 5.57266
11 474.865 1053.24 1191.65 9.06585
12 112.918 384.165 848.592 4.48558
13 696.405 -111.454 716.279 4.33743
14 1658.31 1971.86 2019.95 18.8337
15 777.037 691.856 826.54 7.65144
16 56.9114 -302.533 332.907 0.290951
17 1269.73 1562.85 1277.39 13.6999
18 1463.33 1749.61 1433.38 15.4877
19 951.399 1243.23 1634.57 12.764
20 948.098 1353.58 1619.58 13.0709
21 215.566 763.15 219.111 3.99276
22 1759.66 1469.59 2070.14 17.6646
23 230.875 561.477 -341.966 1.50129
24 2693.14 2646.75 2672.89 26.7093
25 2281.87 1866.99 2343.63 21.6416
26 2244.74 1828.55 1650.3 19.0786
27 1522.4 1532.04 833.49 12.9598
28 2827.72 2796.25 2799.8 28.0792
29 2900.62 3098.23 2983 29.9395
30 929.703 224.286 717.747 6.23912
31 2193.34 1926.84 2266.56 21.2891
32 2227.47 1657.71 2142.04 20.0907
33 3083.4 3147.46 3346.86 31.9258
34 2303.95 1883.61 2007.77 20.6511
35 2147.18 2221.63 1646.95 20.0525
36 2788.97 2937.86 2977.61 29.0148
37 1738.56 1823.51 1132.57 15.6488
38 2741.65 2673.9 2502.9 26.3948
39 2638.16 2599.62 2488.01 25.7526
40 1925.53 1847.98 1273.28 16.8226
41 3058.08 3246 3106.9 31.3699
42 3015.23 2775.34 3044.71 29.4509
43 2973.4 2841.08 2903.18 29.0589
44 2071.87 2122.88 1726.55 19.7376
45 3242.98 3198.25 3092.53 31.7792
46 1715.22 1997.7 1490.18 17.3436
47 2358.65 2340.43 2420.28 23.7312
48 3090.1 3074.15 3085.07 30.831
49 3245.03 3259.58 3179.15 32.2792
50 3153.83 3268.71 3241.41 32.2131
51 2330.83 2257.03 1997.66 21.9517
52 3285.26 3128.39 3088.44 31.6736
53 3159.77 3274.85 3137.12 31.9058
54 2985.54 2899.96 2999.9 29.618
55 2758.28 2854.03 2814.57 28.0896
56 1967.29 2392.37 2261.09 22.0692
57 3044.31 2965.76 2974.21 29.9476
58 2701.66 2160.49 2502.7 24.5495
59 2389.66 2019.8 2347.81 22.5242
60 1338.53 663.772 1350.7 11.1767
61 -113.032 79.6399 536.718 1.67775
62 278.278 507.504 709.737 4.98507
63 -1.47091 -931.878 144.647 -2.62901
64 2360.27 2468.31 2419.9 24.1616
65 1536.73 847.201 1458.02 12.8065
66 2929.45 2930.85 2924.14 29.2815
67 1507.37 1820.89 1717.34 16.8187
68 2825.8 2657.54 2778.97 27.541
69 2441.46 2416.43 2259.27 23.7239
70 689.528 1426.83 1397.49 11.7128
71 3214.43 3085.45 3006.62 31.0217
72 3225.47 3208.33 3015.39 31.4973
73 2996.61 3240.07 3229.8 31.5549
74 3082.14 3211.99 3255.79 31.8331
75 900.011 1612.2 1671.47 13.9456
76 2632.34 2859.01 3143.69 28.7835
77 2757.09 2598.88 2534.02 26.3
78 1342.33 940.101 1576.63 12.8636
79 -205.041 461.259 719.298 3.25172
80 287.535 164.948 929.459 4.60647
81 2334.61 2136.59 2343.44 22.7155
82 2607.75 2602.35 2766.85 26.5898
83 3277.24 3197.36 3196.84 32.2382
84 2632.58 2808.41 2773.86 27.3828
85 3130.41 3061.52 3134.33 31.0875
86 3006.73 2842.47 2923.19 29.2413
87 2919.56 2797.77 2721.56 28.1296
88 3327.41 3101.55 3289.99 32.3965
89 1808.92 1882.45 1450.3 17.1389
90 2740.01 2717.24 2810.61 27.5595
91 3014.37 3004.71 3220.76 30.7994
92 2775.48 3061.76 2469.46 27.689
93 2977.4 2992.24 2912.98 29.6087
94 2765.64 2637.24 2517.23 26.4004
95 3194.69 3268.99 3218.16 32.2728
96 1534.3 2086.32 1852.48 18.2437
97 3160.04 3153.7 3209.35 31.7436
98 2772.44 2529.08 2904.33 27.3528
99 1115.56 823.502 635.872 8.58312
